Placa;Data Posicao;Velocidade;Ignicao;Bloqueio;Bateria;Rua;Cidade;Estado;Latitude/Longitute;Memoria;Odometro;RPM;Temperatura;Temperatura;Satelite;Alerta Interno;Sinal GPS
ITG7322;31/01/2018 21:57:57;0;Ligada;Nao;27;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:55:57;0;Ligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4790,-46.4677;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:55:48;0;Ligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:55:15;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:54:00;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:53:41;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:50:10;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:46:10;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:42:10;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:38:10;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:34:10;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:30:11;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:26:11;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:22:11;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:18:11;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:14:11;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:10:11;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:06:11;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:05:59;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:05:56;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 21:01:57;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:58:21;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:54:21;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:50:21;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:46:21;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:42:21;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:38:21;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:34:21;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:30:21;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:27:10;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:25:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:21:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:17:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:13:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:09:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:05:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 20:01:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:57:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:53:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:49:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:45:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:41:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:37:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:33:29;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:29:29;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:25:29;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:21:29;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:17:29;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:17:14;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:14:23;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:13:48;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:13:07;0;Desligada;Nao;26;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Sim;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:11:58;0;Ligada;Nao;27;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 19:09:58;0;Ligada;Nao;27;R Propriá;Guarulhos;SP;-23.4781,-46.4675;Nao;0;;-125;-125;Nao;Nao;Valido
